Datum,Tid,Lag 1,Lag 2,Arena
2025-08-29,20:00,Råsunda IS,IFK Bergshamra,Råsunda IP 1
2025-08-30,15:00,Huddinge IF,Östersunds FK,Källbrinks IP 1
2025-09-06,13:00,Tyresö FF,Bagarmossen Kärrtorp BK,Tyresövallen A 1
2025-09-07,15:45,IFK Lidingö FK,Vendelsö IK,Lidingövallen 2
2025-09-10,20:00,Huddinge IF B,IFK Stocksund,Källbrinks IP 1
2025-09-12,18:00,FC Krukan,Norrtulls SK,Zinkensdamms IP 1
2025-09-13,14:00,Skå IK & Bygdegård,IK Säbysjön,Svanängens IP 1
2025-09-19,19:00,Enskede IK,Huddinge IF,Enskede IP 1
2025-09-20,16:00,AIK,IFK Norrköping FK,Skytteholms IP 1
2025-10-05,14:30,AIK Framtid FK,Sandvikens IF,Skytteholms IP 1
2025-10-12,18:00,FC Stockholm,Enskede IK,Stadshagens IP 1
